Date,Month_End,Broker,Portfolio,RefCur,Currency,Nominal/Quantity,Cost_Price,Last_Price,Last_Price_Date,Exchange_Rate,Calculated_Amount,Amount_In_USD,Calculated_Accrued_Interest,Accrued_Interest_In_USD,Total_Amount_In_USD,FileDate,Bank,ISIN,Asset,AssetSubtype,Description,Statement_Product_Type,Compliance_Product_Type,Product_Valor,Product,Underlying
2026/6/1,202606,BOS HK,C,HKD,HKD,0,0,0,,1,1493.5725,192.7190322,0,0,192.7190322,2026/6/1,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,HKD,90000,5.75648755,1.983525933,2026/6/16,7.833325,149954.5605,19143.15656,0,0,19143.15656,2026/6/1,BOS,KYG5140J1013,Equities,Equities,Jinxin Fertility Group Ord Shs,Equity,Equity,,Jinxin Fertility Group Ord Shs,Jinxin Fertility Group Limited;1951.HK
2026/6/1,202606,BOS HK,B,USD,JPY,0,0,0,,160.256251,4071978.4,25409.1712,0,0,25409.1712,2026/6/1,BOS,,Current Accounts,,Current Accounts JPY,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,USD,30000,3.3734,2.539494771,2026/6/16,1,83041.47901,83041.47901,0,0,83041.47901,2026/6/1,BOS,US90114C1071,Equities,Equities,TUYA INC,Equity,Equity,TUYA US,TUYA INC,Tuya Inc;TUYA
2026/6/1,202606,BOS HK,B,USD,AUD,0,0,0,,0.70617445,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts AUD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,USD,9000,5.4035,3.795401929,2026/6/16,1,31084.3418,31084.3418,0,0,31084.3418,2026/6/1,BOS,US91531W1062,Equities,Equities,UP FINTECH HOLDING ADR,Equity,Equity,TIGR US,UP FINTECH HOLDING SHARES A LTD SPONSORED AMERICAN DEPOSITARY SHARE REPR 15 SHS −A−,UP Fintech Holding Limited;1M5.F
2026/6/1,202606,BOS HK,B,USD,EUR,0,0,0,,1.159447,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts EUR,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,USD,300,111.3191667,10.69751411,2026/6/16,1,2631.588472,2631.588472,0,0,2631.588472,2026/6/1,BOS,US12233L2060,Equities,Equities,BURNING ROCK BIOTECH ADS REP 10 ORD,Equity,Equity,,,
2026/6/1,202606,BOS HK,A,USD,AUD,0,0,0,,0.70617445,1093.2942,772.0536,0,0,772.0536,2026/6/1,BOS,,Current Accounts,,Current Accounts AUD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,HKD,0,0,0,,7.833325,101037.4218,12898.4072,0,0,12898.4072,2026/6/1,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/1,202606,BOS HK,B,USD,HKD,0,0,0,,7.833325,9295.7088,1186.6848,0,0,1186.6848,2026/6/1,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/1,202606,BOS HK,B,USD,GBP,0,0,0,,1.34155095,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts GBP,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,HKD,19000,441.1648153,522.8158101,2026/6/16,7.833325,10728180.42,1369556.4,0,0,1369556.4,2026/6/1,BOS,KYG875721634,Equities,Equities,TENCENT HOLDINGS LTD (700),Equity,Equity,24014323,Reg.shsTencentHoldingsLtd (700) 分派:07.06.2021 分派金額:HKD 1.6 交易編號24014323-ISINKYG875721634,Tencent Holdings Limited;0700.HK
2026/6/1,202606,BOS HK,A,USD,HKD,17000,37.12403588,14.52642879,2026/6/16,7.833325,227193.3462,29003.43452,0,0,29003.43452,2026/6/1,BOS,CNE100001M79,Equities,Equities,SHANGHAI FOSUN PHARMACEUTI-H (2196),Equity,Equity,2196,FOSUN PHARMA 復星醫藥,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.;2196.HK"
2026/6/1,202606,BOS HK,A,USD,HKD,57000,123.2508396,95.55881591,2026/6/16,7.833325,5011104.306,639716.1215,0,0,639716.1215,2026/6/1,BOS,KYG017191142,Equities,Equities,ALIBABA GRP HLDG,Equity,Equity,,Alibaba Group Holding Ltd (HKEX),Alibaba Group Holding Limited;9988.HK
2026/6/1,202606,BOS HK,A,USD,USD,10000,4.23695,3.864044444,2026/6/16,1,42118.08444,42118.08444,0,0,42118.08444,2026/6/1,BOS,US00138L1089,Equities,Equities,ATRENEW ADR 3 ADR REP 2 CL A ORD,Equity,Equity,RERE US,ATRenew 3 ADR Representing Ord Shs Class A,ATRenew Inc;RERE
2026/6/1,202606,BOS HK,C,HKD,USD,0,0,0,,7.833325,44.6493,45.1296,0,0,45.1296,2026/6/1,BOS,,Current Accounts,,Current Accounts USD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,GBP,0,0,0,,1.34155095,87,116.7192,0,0,116.7192,2026/6/1,BOS,,Current Accounts,,Current Accounts GBP,Cash,Cash,,,
2026/6/1,202606,BOS HK,B,USD,USD,0,0,0,,1,1470825.096,1470825.096,290.71,290.71,1471075.107,2026/6/1,BOS,,Current Accounts,,Current Accounts USD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,USD,2000000,96.75,75.08785235,2026/6/16,1,1369696.037,1351581.342,20127.43904,20127.43904,1369696.037,2026/6/1,BOS,US91282CLF67,Bonds,Fixed Income,UST    3.875 08/15/34,Bond,Bond,,UNITED STATES OF AMERICA 3.875 BOND 2024-15.08.2034,USA Government Bond
2026/6/1,202606,BOS HK,A,USD,HKD,205000,33.84093229,23.06127197,2026/6/16,7.833325,4018426.64,512991.1776,0,0,512991.1776,2026/6/1,BOS,KYG9830T1067,Equities,Equities,XIAOMI CORP,Equity,Equity,42399032,Reg.shsXiaomiCorp. Unitary144A/RegS (1810) 交易編號42399032-股票代號1810,Xiaomi Corporation;1810.HK
2026/6/1,202606,BOS HK,A,USD,USD,2500,25.789036,9.603062273,2026/6/16,1,24727.88535,24727.88535,0,0,24727.88535,2026/6/1,BOS,US65487X1028,Equities,Equities,NOAH HOLDINGS LTD - SPON ADS,Equity,Equity,NOAH US,NOAH HOLDINGS LTD SHS SPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 2 SH-A-,Noah Holdings Limited;NOAH
2026/6/1,202606,BOS HK,A,USD,USD,0,0,0,,1,265410.504,265410.504,88.27,88.27,265489.947,2026/6/1,BOS,,Current Accounts,,Current Accounts USD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,HKD,4700,110.8056723,85.08071757,2026/6/16,7.833325,447864.8973,57174.30548,0,0,57174.30548,2026/6/1,BOS,KYG596691041,Equities,Equities,MEITUAN-W ORD SHS,Equity,Equity,,Meituan Dianping (3690),Meituan;3690.HK
2026/6/1,202606,BOS HK,A,USD,HKD,27000,16.65856259,76.31290298,2026/6/16,7.833325,1648358.704,210428.9937,0,0,210428.9937,2026/6/1,BOS,KYG8020E1199,Equities,Equities,SEMICONDUCTOR MANUFACTURING (981),Equity,Equity,981,Semicondustor Manufacturing Intl Corp. (0981),Semiconductor Manufacturing International Corporation;0981.HK
2026/6/1,202606,BOS HK,A,USD,HKD,10000,26.688119,20.842875,2026/6/16,7.833325,233440.2,29800.91018,0,0,29800.91018,2026/6/1,BOS,CNE100004QP1,Equities,Equities,MEDBOT-B ORD H,Equity,Equity,,Shanghai Microport Medbot H,"Shanghai MicroPort MedBot (Group) Co., Ltd. ;2252.HK"
2026/6/1,202606,BOS HK,B,USD,CNH,0,0,0,,6.7602125,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts CNH,Cash,Cash,,,
2026/6/1,202606,BOS HK,B,USD,SGD,0,0,0,,1.2824635,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts SGD,Cash,Cash,,,
2026/6/1,202606,BOS HK,A,USD,HKD,22000,17.82578772,6.948220181,2026/6/16,7.833325,171204.1453,21855.86715,0,0,21855.86715,2026/6/1,BOS,KYG608371046,Equities,Equities,MICROPORT SCIENTIFIC CORP (853),Equity,Equity,,MICROPORT SCIENTIFIC CORP (853),MicroPort Scientific Corporation;0853.HK
2026/6/1,202606,BOS HK,B,USD,HKD,10000,8.81,0,2020/4/20,7.833325,0,0,0,0,0,2026/6/1,BOS,018140-UNTR,Equities,Equities,REALGOLD MINING-DELISTED (UNTRADED),Equity,Equity,,,
